,testid,timestamp,interval,t_building,t_floor,t_x,t_y,beacon_id,b_major,b_minor,b_floor,b_x,b_y,shapiro,mean,dev
38,22,0000-01-01 00:00:00,0,31,1.0,17.533447,24.500456,A0:E6:F8:69:A1:C7,1000,539,1.0,10.476580637792203,7.495236031035186,0.02076932229101658,-85.58333333333333,3.7518513948301426
39,22,0000-01-01 00:00:00,0,31,1.0,17.533447,24.500456,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.5071399807929993,-89.54545454545455,4.7360059191385835
40,22,0000-01-01 00:00:00,0,31,1.0,17.533447,24.500456,A0:E6:F8:69:F9:CE,1000,541,1.0,29.260466244656378,9.09139753922206,0.09341350197792053,-93.92307692307692,1.6390212117432705
41,22,0000-01-01 00:00:00,0,31,1.0,17.533447,24.500456,A0:E6:F8:69:9F:A8,1000,503,2.0,8.136485433945664,32.07229239783894,0.06798023730516434,-92.5,4.909902530309829
42,22,0000-01-01 00:00:00,0,31,1.0,17.533447,24.500456,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.13861651718616486,-87.46153846153847,3.433217477603292
43,23,0000-01-01 00:00:00,0,31,1.0,27.048032,27.319857,A0:E6:F8:69:A1:F6,1000,509,2.0,29.555868497598077,23.05421402541993,0.9735316038131714,-93.35714285714286,3.9570397098470114
44,23,0000-01-01 00:00:00,0,31,1.0,27.048032,27.319857,A0:E6:F8:69:9C:00,1000,594,1.0,29.384043845699672,43.593132591802295,0.05614548176527023,-93.15384615384616,5.972322751932822
45,23,0000-01-01 00:00:00,0,31,1.0,27.048032,27.319857,A0:E6:F8:69:9F:A8,1000,503,2.0,8.136485433945664,32.07229239783894,0.6763192415237427,-98.0,1.8586407545691703
46,23,0000-01-01 00:00:00,0,31,1.0,27.048032,27.319857,A0:E6:F8:69:A1:C7,1000,539,1.0,10.476580637792203,7.495236031035186,0.9499773383140564,-95.38461538461539,3.409003047101591
47,23,0000-01-01 00:00:00,0,31,1.0,27.048032,27.319857,A0:E6:F8:69:8E:63,1000,500,2.0,29.22119240943289,32.517628184836234,0.008630787953734398,-82.4,1.5297058540778354
48,23,0000-01-01 00:00:00,0,31,1.0,27.048032,27.319857,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.2523917853832245,-90.1875,3.5745410544572014
49,23,0000-01-01 00:00:00,0,31,1.0,27.048032,27.319857,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.27556923031806946,-74.42857142857143,5.0196891249921665
50,23,0000-01-01 00:00:00,0,31,1.0,27.048032,27.319857,A0:E6:F8:69:F9:CE,1000,541,1.0,29.260466244656378,9.09139753922206,0.9400134682655334,-92.25,5.182100603680584
51,25,0000-01-01 00:00:00,0,31,1.0,28.550332,39.592535,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.09524565190076828,-85.63636363636364,6.168434710431772
52,25,0000-01-01 00:00:00,0,31,1.0,28.550332,39.592535,A0:E6:F8:69:F1:0C,1000,573,1.0,29.50762144674296,52.3106532787198,0.08370673656463623,-94.46153846153847,2.6199055947579084
53,25,0000-01-01 00:00:00,0,31,1.0,28.550332,39.592535,A0:E6:F8:69:9C:00,1000,594,1.0,29.384043845699672,43.593132591802295,0.771075427532196,-81.35714285714286,2.767338661115788
54,25,0000-01-01 00:00:00,0,31,1.0,28.550332,39.592535,A0:E6:F8:69:F9:CE,1000,541,1.0,29.260466244656378,9.09139753922206,0.010462149046361446,-95.84615384615384,4.016239225294342
55,25,0000-01-01 00:00:00,0,31,1.0,28.550332,39.592535,A0:E6:F8:69:F9:90,1000,522,2.0,26.432208435113072,41.86970917279304,0.006776003632694483,-86.81818181818181,2.8862741575250084
56,25,0000-01-01 00:00:00,0,31,1.0,28.550332,39.592535,A0:E6:F8:69:8E:63,1000,500,2.0,29.22119240943289,32.517628184836234,0.051930371671915054,-86.1875,5.027657879171971
57,26,0000-01-01 00:00:00,0,31,1.0,28.383409999999998,50.151462,A0:E6:F8:69:F9:CE,1000,541,1.0,29.260466244656378,9.09139753922206,0.010201468132436275,-93.10526315789474,4.140871213214935
58,26,0000-01-01 00:00:00,0,31,1.0,28.383409999999998,50.151462,A0:E6:F8:69:F8:88,1000,531,1.0,26.04743432077296,66.67614347374641,0.2415737807750702,-93.78947368421052,3.8055215752684672
59,26,0000-01-01 00:00:00,0,31,1.0,28.383409999999998,50.151462,A0:E6:F8:69:F9:90,1000,522,2.0,26.432208435113072,41.86970917279304,0.5779958367347717,-92.84615384615384,3.5048571538136977
60,26,0000-01-01 00:00:00,0,31,1.0,28.383409999999998,50.151462,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.19157171249389648,-92.8,3.5627704575699695
61,26,0000-01-01 00:00:00,0,31,1.0,28.383409999999998,50.151462,A0:E6:F8:69:9C:00,1000,594,1.0,29.384043845699672,43.593132591802295,0.2009536176919937,-77.61538461538461,3.7731533749017605
62,26,0000-01-01 00:00:00,0,31,1.0,28.383409999999998,50.151462,A0:E6:F8:69:8E:63,1000,500,2.0,29.22119240943289,32.517628184836234,0.6845020651817322,-96.1875,3.025284077570237
63,26,0000-01-01 00:00:00,0,31,1.0,28.383409999999998,50.151462,A0:E6:F8:69:F1:0C,1000,573,1.0,29.50762144674296,52.3106532787198,0.01117248460650444,-81.46153846153847,4.508374849874647
64,26,0000-01-01 00:00:00,0,31,1.0,28.383409999999998,50.151462,A0:E6:F8:69:A1:BB,1000,564,2.0,25.539735241341237,53.89381108505226,0.8766399025917053,-95.78571428571429,3.4471224320039004
65,27,0000-01-01 00:00:00,0,31,1.0,28.216488000000002,58.775507999999995,A0:E6:F8:69:F8:88,1000,531,1.0,26.04743432077296,66.67614347374641,0.782437264919281,-93.57142857142857,4.288094577086753
66,27,0000-01-01 00:00:00,0,31,1.0,28.216488000000002,58.775507999999995,A0:E6:F8:69:9B:27,1000,514,1.0,7.757860905176678,59.80035305021886,0.46324512362480164,-96.7,2.12367605815953
67,27,0000-01-01 00:00:00,0,31,1.0,28.216488000000002,58.775507999999995,A0:E6:F8:69:A1:BB,1000,564,2.0,25.539735241341237,53.89381108505226,0.08196096867322922,-97.77777777777777,1.9019158631804098
68,27,0000-01-01 00:00:00,0,31,1.0,28.216488000000002,58.775507999999995,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.16582553088665009,-95.76923076923077,4.0601979139681985
69,27,0000-01-01 00:00:00,0,31,1.0,28.216488000000002,58.775507999999995,A0:E6:F8:69:F1:0C,1000,573,1.0,29.50762144674296,52.3106532787198,0.05138818174600601,-85.85,3.837642505497352
70,27,0000-01-01 00:00:00,0,31,1.0,28.216488000000002,58.775507999999995,A0:E6:F8:69:9C:00,1000,594,1.0,29.384043845699672,43.593132591802295,0.028461556881666183,-94.80952380952381,4.531572286998217
71,28,0000-01-01 00:00:00,0,31,1.0,22.708046,61.926601,A0:E6:F8:69:F8:88,1000,531,1.0,26.04743432077296,66.67614347374641,0.27662497758865356,-88.10344827586206,4.901406044477631
72,28,0000-01-01 00:00:00,0,31,1.0,22.708046,61.926601,A0:E6:F8:69:9B:27,1000,514,1.0,7.757860905176678,59.80035305021886,0.1737488955259323,-90.94736842105263,4.006227838733698
73,29,0000-01-01 00:00:00,0,31,1.0,16.364991,63.253377,A0:E6:F8:69:F8:88,1000,531,1.0,26.04743432077296,66.67614347374641,0.39939382672309875,-94.26666666666667,5.208539995899896
74,29,0000-01-01 00:00:00,0,31,1.0,16.364991,63.253377,A0:E6:F8:69:9B:27,1000,514,1.0,7.757860905176678,59.80035305021886,0.008679951541125774,-84.57692307692308,5.904190668975834
75,29,0000-01-01 00:00:00,0,31,1.0,16.364991,63.253377,A0:E6:F8:69:F5:73,1000,511,1.0,7.757860905176678,43.34756805360252,0.8031541109085083,-98.92307692307692,3.315732624961893
76,30,0000-01-01 00:00:00,0,31,1.0,9.187322,59.107201,A0:E6:F8:69:9E:B5,1000,589,2.0,8.582722807688299,53.89381108505226,0.09863080084323883,-93.04166666666667,2.3537057070831002
77,30,0000-01-01 00:00:00,0,31,1.0,9.187322,59.107201,A0:E6:F8:69:F5:73,1000,511,1.0,7.757860905176678,43.34756805360252,0.8591961860656738,-90.33333333333333,3.8586123009300755
78,30,0000-01-01 00:00:00,0,31,1.0,9.187322,59.107201,A0:E6:F8:69:F8:88,1000,531,1.0,26.04743432077296,66.67614347374641,0.2615058422088623,-93.0,3.7416573867739413
79,30,0000-01-01 00:00:00,0,31,1.0,9.187322,59.107201,A0:E6:F8:69:9B:D0,1000,524,1.0,7.263547820361415,33.15666546422749,0.40819427371025085,-99.61538461538461,3.1994822066285264
80,30,0000-01-01 00:00:00,0,31,1.0,9.187322,59.107201,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.5914800763130188,-94.58823529411765,6.278430147824157
81,30,0000-01-01 00:00:00,0,31,1.0,9.187322,59.107201,A0:E6:F8:69:F4:03,1000,508,2.0,11.26014549643067,43.20572118552391,0.05729606747627258,-101.08333333333333,1.552328000849763
82,30,0000-01-01 00:00:00,0,31,1.0,9.187322,59.107201,A0:E6:F8:69:F1:0C,1000,573,1.0,29.50762144674296,52.3106532787198,0.7941261529922485,-99.83333333333333,3.050500869620521
83,30,0000-01-01 00:00:00,0,31,1.0,9.187322,59.107201,A0:E6:F8:69:9B:27,1000,514,1.0,7.757860905176678,59.80035305021886,0.3185091018676758,-76.70588235294117,6.075647686435461
84,31,0000-01-01 00:00:00,0,31,1.0,9.0204,48.658838,A0:E6:F8:69:9E:B5,1000,589,2.0,8.582722807688299,53.89381108505226,0.12218721956014633,-94.06666666666666,5.284778982028377
85,31,0000-01-01 00:00:00,0,31,1.0,9.0204,48.658838,A0:E6:F8:69:F4:03,1000,508,2.0,11.26014549643067,43.20572118552391,0.7463358044624329,-94.13333333333334,4.529410067056808
86,31,0000-01-01 00:00:00,0,31,1.0,9.0204,48.658838,A0:E6:F8:69:9B:27,1000,514,1.0,7.757860905176678,59.80035305021886,0.569936990737915,-86.85714285714286,3.3135467156409146
87,31,0000-01-01 00:00:00,0,31,1.0,9.0204,48.658838,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.020857203751802444,-88.35714285714286,4.819708687953526
88,32,0000-01-01 00:00:00,0,31,1.0,10.522703,36.552008,A0:E6:F8:69:F9:CE,1000,541,1.0,29.260466244656378,9.09139753922206,0.07525710761547089,-95.28571428571429,2.4907993963089563
89,32,0000-01-01 00:00:00,0,31,1.0,10.522703,36.552008,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.1710393875837326,-76.125,3.7059917700933984
90,32,0000-01-01 00:00:00,0,31,1.0,10.522703,36.552008,A0:E6:F8:69:9B:D0,1000,524,1.0,7.263547820361415,33.15666546422749,0.04797771945595741,-82.0,3.3065591380365986
91,32,0000-01-01 00:00:00,0,31,1.0,10.522703,36.552008,A0:E6:F8:69:F5:73,1000,511,1.0,7.757860905176678,43.34756805360252,0.2906576991081238,-91.66666666666667,5.521674464226308
92,32,0000-01-01 00:00:00,0,31,1.0,10.522703,36.552008,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.8239648342132568,-96.08333333333333,3.277660073216189
93,32,0000-01-01 00:00:00,0,31,1.0,10.522703,36.552008,A0:E6:F8:69:A1:C7,1000,539,1.0,10.476580637792203,7.495236031035186,0.24412474036216736,-96.07142857142857,5.573717478542687
94,32,0000-01-01 00:00:00,0,31,1.0,10.522703,36.552008,A0:E6:F8:69:F9:DD,1000,569,2.0,7.6902480602030305,22.942882404540125,0.010341903194785118,-97.9,3.0149626863362675
95,32,0000-01-01 00:00:00,0,31,1.0,10.522703,36.552008,A0:E6:F8:69:8E:63,1000,500,2.0,29.22119240943289,32.517628184836234,0.5117865204811096,-95.27272727272727,2.86327559054975
96,32,0000-01-01 00:00:00,0,31,1.0,10.522703,36.552008,A0:E6:F8:69:9B:27,1000,514,1.0,7.757860905176678,59.80035305021886,0.6842651963233948,-94.8,1.9899748742132397
97,32,0000-01-01 00:00:00,0,31,1.0,10.522703,36.552008,A0:E6:F8:69:9F:A8,1000,503,2.0,8.136485433945664,32.07229239783894,0.22414913773536682,-82.08333333333333,3.426814199158682
98,33,0000-01-01 00:00:00,0,31,1.0,9.354245,27.596269,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.8055921196937561,-76.25,4.566636252940086
99,33,0000-01-01 00:00:00,0,31,1.0,9.354245,27.596269,A0:E6:F8:69:F5:73,1000,511,1.0,7.757860905176678,43.34756805360252,0.03949596360325813,-91.42857142857143,4.731570046194055
100,33,0000-01-01 00:00:00,0,31,1.0,9.354245,27.596269,A0:E6:F8:69:F4:0D,1000,575,1.0,29.50762144674296,28.859295811423603,0.7387039065361023,-86.07692307692308,2.4006902360503437
101,33,0000-01-01 00:00:00,0,31,1.0,9.354245,27.596269,A0:E6:F8:69:9E:B5,1000,589,2.0,8.582722807688299,53.89381108505226,0.2607639729976654,-98.45454545454545,2.2305171175245992
102,33,0000-01-01 00:00:00,0,31,1.0,9.354245,27.596269,A0:E6:F8:69:9B:D0,1000,524,1.0,7.263547820361415,33.15666546422749,0.4584752917289734,-84.46153846153847,3.953876084891199
103,33,0000-01-01 00:00:00,0,31,1.0,9.354245,27.596269,A0:E6:F8:69:9F:A8,1000,503,2.0,8.136485433945664,32.07229239783894,0.4075024425983429,-85.75,5.356071321407137
104,33,0000-01-01 00:00:00,0,31,1.0,9.354245,27.596269,A0:E6:F8:69:8E:63,1000,500,2.0,29.22119240943289,32.517628184836234,0.18443970382213593,-96.5,2.1095023109728985
105,36,0000-01-01 00:00:00,0,31,2.0,9.900766,31.049160999999998,A0:E6:F8:69:F5:73,1000,511,1.0,7.757860905176678,43.34756805360252,0.02097165584564209,-98.58823529411765,3.9116541337756
106,36,0000-01-01 00:00:00,0,31,2.0,9.900766,31.049160999999998,A0:E6:F8:69:8E:63,1000,500,2.0,29.22119240943289,32.517628184836234,0.003996394574642181,-88.325,5.631995649856274
107,36,0000-01-01 00:00:00,0,31,2.0,9.900766,31.049160999999998,A0:E6:F8:69:A1:C7,1000,539,1.0,10.476580637792203,7.495236031035186,0.231912299990654,-98.08,2.1150886506243656
108,36,0000-01-01 00:00:00,0,31,2.0,9.900766,31.049160999999998,A0:E6:F8:69:F9:DD,1000,569,2.0,7.6902480602030305,22.942882404540125,0.3563379645347595,-91.47058823529412,3.6318468330430895
109,36,0000-01-01 00:00:00,0,31,2.0,9.900766,31.049160999999998,A0:E6:F8:69:F9:A1,1000,552,1.0,8.252173096444572,26.403657531747374,0.06552138179540634,-80.58536585365853,4.078352188503118
110,36,0000-01-01 00:00:00,0,31,2.0,9.900766,31.049160999999998,A0:E6:F8:69:9F:A8,1000,503,2.0,8.136485433945664,32.07229239783894,0.0031571423169225454,-75.0625,4.961964706645947
111,36,0000-01-01 00:00:00,0,31,2.0,9.900766,31.049160999999998,A0:E6:F8:69:9B:D0,1000,524,1.0,7.263547820361415,33.15666546422749,0.023735977709293365,-88.5625,3.7494791304926607
112,36,0000-01-01 00:00:00,0,31,2.0,9.900766,31.049160999999998,A0:E6:F8:69:9E:B5,1000,589,2.0,8.582722807688299,53.89381108505226,0.0008344482048414648,-87.8108108108108,2.03798838070366
113,36,0000-01-01 00:00:00,0,31,2.0,9.900766,31.049160999999998,A0:E6:F8:69:F4:03,1000,508,2.0,11.26014549643067,43.20572118552391,0.04474879056215286,-94.8695652173913,2.609420189238897
